date,rt,RV,delta_alpha_T252
2019-11-20,-1.163419,1.356853,1.404472
2019-11-21,-0.456970,0.630452,1.263048
2019-11-22,-0.076365,0.575219,1.141910
2019-11-25,1.726792,0.255996,1.257864
2019-11-26,-0.783963,0.759198,1.216587
2019-11-27,1.338064,0.160318,1.233910
2019-11-29,-0.224266,0.314198,1.251499
2019-12-02,-1.159215,0.912044,1.143410
2019-12-03,-1.802952,1.226952,1.139353
2019-12-04,0.890259,0.388910,0.976844
2019-12-05,1.441275,0.441493,0.924310
2019-12-06,1.924427,0.298539,1.003538
2019-12-09,-1.413609,0.759920,0.965336
2019-12-10,0.582744,0.762633,1.040370
2019-12-11,0.845640,0.403532,1.014750
2019-12-12,0.250830,3.081731,1.072580
2019-12-13,1.361163,1.562599,1.148577
2019-12-16,1.700819,0.438749,1.134936
2019-12-17,0.185622,0.461245,1.042373
2019-12-18,-0.228506,0.452975,1.154440
2019-12-19,0.100036,0.444480,1.287636
2019-12-20,-0.214485,0.336743,1.312995
2019-12-23,1.618664,0.249289,1.361878
2019-12-24,0.098543,0.231476,1.401240
2019-12-26,1.964535,0.299923,1.448957
2019-12-27,-0.041399,1.631098,1.300780
2019-12-30,0.591758,1.756783,1.232748
2019-12-31,0.724591,0.557143,1.412465
2020-01-02,2.262723,0.531386,1.289307
2020-01-03,-0.976923,1.016275,1.234975
2020-01-06,0.790306,0.834071,1.288491
2020-01-07,-0.468072,0.983761,1.243636
2020-01-08,1.595779,0.842706,1.293108
2020-01-09,2.101768,1.422138,1.228988
2020-01-10,0.219369,1.266557,1.101237
2020-01-13,2.117156,0.456536,1.231553
2020-01-14,-1.359528,1.911921,1.156237
2020-01-15,-0.435898,1.151803,1.164739
2020-01-16,1.251293,0.643719,1.135830
2020-01-17,1.097872,0.503204,1.085845
2020-01-21,-0.680018,0.491307,1.216564
2020-01-22,0.353179,0.676099,1.125793
2020-01-23,0.489858,0.646002,0.998554
2020-01-24,-0.288600,1.451075,1.049624
2020-01-27,-2.984535,1.601196,1.040229
2020-01-28,2.783277,0.642022,1.090555
2020-01-29,2.068610,1.562390,1.064412
2020-01-30,-0.135761,1.635695,1.091000
2020-01-31,-4.535037,3.445003,1.080951
2020-02-03,-0.271757,2.717209,0.889988
2020-02-04,3.238427,1.136714,0.814930
2020-02-05,0.812149,1.775043,0.907720
2020-02-06,1.162948,0.884035,0.874465
2020-02-07,-1.599439,0.823073,0.925125
2020-02-10,0.473816,0.947237,0.965587
2020-02-11,-0.611394,0.826749,1.027811
2020-02-12,2.350139,0.521946,1.089624
2020-02-13,-0.711572,0.711110,1.034362
2020-02-14,0.024621,0.626526,0.884221
2020-02-18,-1.851100,1.372074,0.944546
2020-02-19,1.444068,0.451341,0.894358
2020-02-20,-1.031129,1.482274,0.830631
2020-02-21,-2.298952,2.152582,0.858200
2020-02-24,-4.856658,4.495675,0.835082
2020-02-25,-3.452618,5.711895,0.920624
2020-02-26,1.570497,6.198615,0.963127
2020-02-27,-6.756844,17.135547,0.961906
2020-02-28,-0.058514,36.937568,1.212818
2020-03-02,8.898485,11.047328,1.267804
2020-03-03,-3.224111,25.479181,1.327895
2020-03-04,4.540707,4.400486,1.402370
2020-03-05,-3.304088,4.634615,1.507816
2020-03-06,-1.333445,7.192339,1.598152
2020-03-09,-8.246746,26.545746,1.623371
2020-03-10,6.951373,14.832671,1.657731
2020-03-11,-3.524154,8.313715,2.043831
2020-03-12,-10.397380,49.150337,2.152157
2020-03-13,11.308120,39.858542,2.147068
2020-03-16,-13.771339,35.064378,2.126265
2020-03-17,4.315124,26.938457,1.990115
2020-03-18,-2.482312,17.004756,2.052824
2020-03-19,-0.765040,15.195206,1.778638
2020-03-20,-6.567206,15.321303,1.556692
2020-03-23,-2.151759,40.862478,1.789427
2020-03-24,9.565048,8.537659,1.752420
2020-03-25,-0.552398,20.932262,1.899804
2020-03-26,5.128515,12.396284,1.916288
2020-03-27,-4.220302,6.269287,1.850756
2020-03-30,2.801839,3.650532,1.670830
2020-03-31,-0.204290,6.472402,1.388393
2020-04-01,-5.397109,3.590486,1.255159
2020-04-02,1.646670,6.212427,1.258757
2020-04-03,-1.447632,3.173777,1.194435
2020-04-06,8.371958,4.060640,1.190776
2020-04-07,-1.164943,7.335848,1.233048
2020-04-08,2.527155,2.455686,1.321257
2020-04-09,0.718997,3.953893,1.394215
2020-04-13,1.936355,2.724097,1.155019
2020-04-14,4.927105,2.667869,0.815022
2020-04-15,-0.909924,2.605272,0.815827
2020-04-16,0.784428,2.590188,0.888273
2020-04-17,-1.362668,2.905680,0.928331
2020-04-20,-2.101128,1.865814,0.895065
2020-04-21,-3.139929,4.706342,0.983931
2020-04-22,2.850619,1.246834,1.074220
2020-04-23,-0.391901,2.475175,0.850902
2020-04-24,2.838900,1.266460,0.526923
2020-04-27,0.070656,1.692932,0.675786
2020-04-28,-1.637863,1.916844,0.520954
2020-04-29,3.235431,1.501382,0.468195
2020-04-30,2.091148,3.092382,0.722255
2020-05-01,-1.619580,6.955621,0.782434
2020-05-04,1.401507,1.988338,0.762756
2020-05-05,1.489735,1.459678,0.521475
2020-05-06,1.029765,1.287035,0.392916
2020-05-07,1.032438,0.997609,0.592854
2020-05-08,2.072140,0.862673,0.582427
2020-05-11,1.561332,0.896838,0.677728
2020-05-12,-1.149438,2.187103,0.712449
2020-05-13,-1.214799,4.843375,0.711265
2020-05-14,0.622167,3.508623,0.846234
2020-05-15,-0.596166,2.168942,0.607508
2020-05-18,2.325537,1.098197,0.346756
2020-05-19,-0.573140,1.642048,0.453869
2020-05-20,1.922893,0.655314,0.440549
2020-05-21,-0.754626,1.330761,0.656656
2020-05-22,0.641794,0.774996,0.686318
2020-05-26,-0.679675,1.632395,0.759873
2020-05-27,0.441057,2.386788,0.814750
2020-05-28,0.037715,1.662631,0.558523
2020-05-29,-0.088023,2.147502,0.444893
2020-06-01,1.212894,0.509179,0.613770
2020-06-02,0.458802,0.714047,0.541818
2020-06-03,0.555180,0.672635,0.415271
2020-06-04,-0.864950,0.858003,0.428093
2020-06-05,2.814330,1.177620,0.550645
2020-06-08,0.577480,1.030169,0.658660
2020-06-09,3.117872,1.708805,0.531899
2020-06-10,2.537304,3.336500,0.484800
2020-06-11,-4.914166,4.814565,0.541086
2020-06-12,0.853693,8.548675,0.542694
2020-06-15,1.232048,4.104028,0.480340
2020-06-16,2.612798,2.962566,0.484340
2020-06-17,-0.136426,0.788966,0.504728
2020-06-18,0.034124,0.831568,0.533448
2020-06-19,-0.570257,2.920837,0.550485
2020-06-22,2.585524,0.826582,0.509583
2020-06-23,2.106502,1.509834,0.616237
2020-06-24,-1.772686,3.679632,0.489704
2020-06-25,1.313267,2.722279,0.454704
2020-06-26,-3.117945,3.585767,0.596654
2020-06-29,2.281213,2.123927,0.530634
2020-06-30,0.825769,1.042092,0.602052
2020-07-01,-0.186577,0.718089,0.500957
2020-07-02,0.000000,1.048230,0.551266
2020-07-06,2.634441,0.797115,0.634481
2020-07-07,-0.310776,2.007926,0.662227
2020-07-08,2.302367,1.410707,0.687223
2020-07-09,0.355984,1.957655,0.627746
2020-07-10,0.250522,0.785294,0.659150
2020-07-13,-0.459771,4.603495,0.789427
2020-07-14,1.641254,6.123434,0.470713
2020-07-15,0.687923,4.349363,0.509742
2020-07-16,-1.245833,1.575234,0.526123
2020-07-17,-0.197044,0.819055,0.431651
2020-07-20,2.085442,0.713289,0.517820
2020-07-21,-1.392324,1.567516,0.646116
2020-07-22,0.277964,1.125087,0.838361
2020-07-23,-4.650533,3.889155,0.635809
2020-07-24,-0.258816,5.477586,0.475900
2020-07-27,2.347776,1.767029,0.416988
2020-07-28,-1.659083,0.942449,0.386233
2020-07-29,1.901380,1.471143,0.387361
2020-07-30,1.202755,1.832213,0.415048
2020-07-31,9.956352,4.213597,0.585211
2020-08-03,2.490835,3.948315,0.533185
2020-08-04,0.667858,2.304671,0.463097
2020-08-05,0.354981,1.755498,0.516156
2020-08-06,3.429520,2.054036,0.598259
2020-08-07,-2.480017,3.616973,0.597737
2020-08-10,1.447488,3.702122,0.527901
2020-08-11,-3.016752,3.728995,0.500295
2020-08-12,3.264825,2.011629,0.514847
