date,rt,RV,delta_alpha_T252
2012-05-01,-0.336135,2.421990,1.072747
2012-05-02,0.671143,1.804832,1.013176
2012-05-03,-0.719255,1.040699,1.067312
2012-05-04,-2.880355,1.097381,1.109262
2012-05-07,0.740196,2.993225,1.174053
2012-05-08,-0.246124,2.371434,1.188759
2012-05-09,0.196947,2.744263,1.178127
2012-05-10,0.245640,0.865534,1.169266
2012-05-11,-0.689318,0.923412,1.334103
2012-05-14,-1.493308,0.868488,1.396336
2012-05-15,-0.906807,2.095153,1.284369
2012-05-16,-1.324523,2.091615,1.122044
2012-05-17,-2.966650,3.605821,1.144062
2012-05-18,0.052812,4.014665,1.242762
2012-05-21,5.695307,2.675356,1.191096
2012-05-22,-0.801206,4.105137,1.122374
2012-05-23,2.433693,3.473038,1.086667
2012-05-24,-0.936660,2.248286,1.071810
2012-05-25,-0.546314,0.917178,1.129652
2012-05-29,1.776947,1.646728,1.263794
2012-05-30,1.167328,1.738702,1.272975
2012-05-31,-0.242072,1.557207,1.260439
2012-06-01,-2.901605,1.222117,1.331346
2012-06-04,0.547401,5.298344,1.289162
2012-06-05,-0.248447,1.524290,1.236224
2012-06-06,1.530516,0.868877,1.212077
2012-06-07,0.048984,0.826717,1.195957
2012-06-08,1.506711,0.505882,1.202479
2012-06-11,-1.604703,2.298950,1.210502
2012-06-12,0.878483,1.959657,1.207573
2012-06-13,-0.731532,1.111996,1.289100
2012-06-14,-0.097943,1.224900,1.317028
2012-06-15,0.439991,0.432112,1.464483
2012-06-18,2.028075,1.816659,1.431263
2012-06-19,0.286396,1.406899,1.381246
2012-06-20,-0.286396,1.301875,1.359089
2012-06-21,-1.395931,0.782869,1.292207
2012-06-22,0.772577,0.478538,1.209921
2012-06-25,-1.991807,1.106410,1.225806
2012-06-26,0.245038,1.092610,1.249496
2012-06-27,0.439561,0.503674,1.252048
2012-06-28,-0.979440,0.622637,1.316427
2012-06-29,2.622783,0.413144,1.472915
2012-07-02,1.427916,1.021890,1.560539
2012-07-03,1.174550,0.149026,1.505540
2012-07-05,1.713401,1.044426,1.519402
2012-07-06,-0.644866,0.949942,1.485303
2012-07-09,1.285601,0.584340,1.420361
2012-07-10,-0.916597,1.423863,1.356201
2012-07-11,-0.600325,1.261297,1.276105
2012-07-12,-0.930672,1.039104,1.227159
2012-07-13,1.023265,0.738569,1.216686
2012-07-16,0.323401,0.550175,1.386064
2012-07-17,0.000000,0.993872,1.332982
2012-07-18,-0.138472,0.450431,1.285426
2012-07-19,1.330600,0.550230,1.313823
2012-07-20,-1.654450,0.488124,1.355300
2012-07-23,-0.046350,1.754005,1.374695
2012-07-24,-0.511272,1.044265,1.347403
2012-07-25,-4.430351,1.194401,1.207083
2012-07-26,0.000000,0.799916,1.091336
2012-07-27,1.786193,0.903257,1.076061
2012-07-30,1.660774,1.189958,1.231340
2012-07-31,2.601168,0.761393,1.367489
2012-08-01,-0.643976,1.455025,1.438305
2012-08-02,0.184417,1.565636,1.452330
2012-08-03,1.281482,0.418234,1.276589
2012-08-06,1.085492,0.412132,1.181948
2012-08-07,-0.225175,0.921291,1.063203
2012-08-08,-0.180505,0.606910,1.041389
2012-08-09,0.135410,0.293594,0.961440
2012-08-10,0.135227,0.162880,0.890946
2012-08-13,1.342302,0.472742,1.029291
2012-08-14,0.266312,0.651978,1.046207
2012-08-15,-0.133067,0.488447,0.991434
2012-08-16,0.883788,0.328008,1.018288
2012-08-17,1.830914,0.364610,1.020842
2012-08-20,2.600871,0.985840,0.876005
2012-08-21,-1.398624,4.139909,0.986576
2012-08-22,1.944271,1.780941,0.946700
2012-08-23,-0.925154,1.806950,0.831493
2012-08-24,0.084459,1.010876,0.751654
2012-08-27,1.840286,1.045946,0.884414
2012-08-28,-0.124404,0.414729,0.763397
2012-08-29,-0.207684,0.299541,0.749679
2012-08-30,-1.423810,0.686303,0.788469
2012-08-31,0.210659,1.580513,0.826599
2012-09-04,1.462320,0.748579,0.765935
2012-09-05,-0.707599,0.420497,0.818392
2012-09-06,0.873368,0.549384,0.748517
2012-09-07,0.619197,0.483237,0.656092
2012-09-10,-2.626793,1.217436,0.618341
2012-09-11,-0.338553,1.913226,0.677337
2012-09-12,1.389204,3.421950,0.698576
2012-09-13,1.945828,0.808823,0.611093
2012-09-14,1.222509,0.774614,0.566047
2012-09-17,1.207744,0.372536,0.518305
2012-09-18,0.319617,0.370084,0.567070
2012-09-19,0.039880,0.248268,0.686309
2012-09-20,-0.519689,0.472027,0.751340
2012-09-21,0.200200,0.297028,0.744316
2012-09-24,-1.328789,0.935005,0.744960
2012-09-25,-2.503722,1.392223,0.923675
2012-09-26,-1.254722,2.255570,1.082851
2012-09-27,2.370666,1.665655,1.194422
2012-09-28,-2.076487,1.928184,1.272599
2012-10-01,-1.181947,2.339857,1.214351
2012-10-02,0.296799,2.491986,0.788973
2012-10-03,1.512634,1.121280,0.747951
2012-10-04,-0.711449,1.257903,0.627561
2012-10-05,-2.122321,1.883990,0.630916
2012-10-08,-2.256061,2.848262,0.697550
2012-10-09,-0.351649,3.608781,0.822473
2012-10-10,0.789478,1.548745,0.795004
2012-10-11,-2.030079,1.642913,0.720851
2012-10-12,0.267142,1.706081,0.678603
2012-10-15,0.797170,1.768237,0.673933
2012-10-16,2.354076,1.525189,0.792874
2012-10-17,-0.821982,1.284996,0.835424
2012-10-18,-1.885607,1.542184,0.746050
2012-10-19,-3.651521,1.716148,0.720981
2012-10-22,3.872614,1.646991,0.816933
2012-10-23,-3.277510,5.837105,0.862069
2012-10-24,0.546201,2.621707,0.883836
2012-10-25,-1.187229,2.423646,0.840668
2012-10-26,-0.922941,5.729940,0.753446
2012-10-31,-1.447609,3.632061,0.787684
2012-11-01,0.234907,1.521468,0.786684
2012-11-02,-3.388537,1.510368,0.752675
2012-11-05,1.350069,2.970408,0.806187
2012-11-06,-0.287770,1.298551,0.755471
2012-11-07,-4.368793,3.838163,0.789666
2012-11-08,-3.679516,7.122845,0.932192
2012-11-09,1.703267,5.200328,0.953798
2012-11-12,-0.770618,3.124101,0.934617
2012-11-13,0.000000,3.143578,0.816004
2012-11-14,-1.141091,2.215754,0.809430
2012-11-15,-2.108671,3.814006,0.731629
2012-11-16,0.425306,7.512441,0.706464
2012-11-19,6.916969,2.624750,0.655780
2012-11-20,-0.845145,3.612816,0.680164
2012-11-21,0.149663,1.857147,0.699088
